work_order_id,asset_tag,date,title,status,post_repair_test
WO-129,P-204A,2026-05-28,Seal leakage reported,closed,n/a
WO-141,P-204A,2026-06-18,Mechanical seal replaced,closed,MISSING
WO-133,HX-102,2026-06-05,Rising outlet temperature,open,n/a
WO-137,C-110,2026-06-12,Compressor overheating,closed,n/a
WO-150,TK-501,2026-06-25,Level transmitter calibration,closed,n/a
WO-118,P-204A,2026-04-30,Bearing lubrication PM,closed,n/a
WO-145,HX-102,2026-06-20,Gasket replacement,closed,n/a
WO-152,C-110,2026-06-28,Valve plate inspection,closed,n/a
WO-160,V-301,2026-07-01,Relief valve pop test due,open,n/a
WO-108,P-204A,2026-03-15,Coupling inspection,closed,n/a
